,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
354,"""Great company to work for, great benefits and work life balance.""",I have been working at Microsoft ,Great benefits and opportunities to learn new skills.,"The environment tend to be political at times, which slows down progress. But this really depends on the team.",,,,,
355,"""Microsoft provides the work life balance and growth opportunities like no other company""",I have been working at Microsoft full-time for more than 5 years,"work life balance, opportunities for growth, imagine a world without Microsoft.",none that I can think of,5.0,5.0,5.0,5.0,5.0
356,"""Great environment""",I worked at Microsoft full-time for more than 3 years,"- Great environment to grow as a PM
- Great team working on same goal
- great benefits","- sometimes working across teams can be tough
- large company, so lots of different teams to work with",5.0,4.0,5.0,5.0,4.0
357,"""Copy the Competition""",I worked at Microsoft full-time for more than 3 years,The brand equity of Microsoft on your resume,"Constantly overworked, under-staffed retail stores, most decisions are a reaction rather than strategic planning.",1.0,1.0,3.0,2.0,2.0
358,"""Microsoft Design""",I have been working at Microsoft full-time for more than 8 years,Fantastic opportunities for design impact in certain business divisions,"Strong diversity and inclusion bias forming across the company which can be extremely negative for some people. This is not overt, but present.",4.0,3.0,3.0,5.0,2.0
359,"""Company itself""",I have been working at Microsoft full-time for more than a year,The company has great benefits,"Misaligned strategy and execution
Highly political organization
Misdirected management
Overlapping functionality among teams leading to redundancy and cost mismanagement
Developers call shots without market knowledge",3.0,,3.0,3.0,3.0
360,"""Sr Escalation Engineer""",I have been working at Microsoft full-time for more than 5 years,"Benefits are good including healthcare, HSA, and office ammenities","Promotion opportunities (average 3-5 years), impossible to move from tech to business side. Take diversity to an extreme",4.0,3.0,3.0,3.0,4.0
361,"""Amazing perks and  community""",I have been working at Microsoft full-time for less than a year,"The perks are great and everyone you meet is really helpful and intelligent, and focused on your individual growth.
Plus your coworkers become like a community of friends","Campus is not close to the city so if you're going to live downtown, its a long commute",,,,,
362,"""Assistant Manager""",I worked at Microsoft full-time for more than 3 years,"Customer Focus, with few limitations to resolve customers concerns.",Political  nature of the company.,4.0,4.0,4.0,4.0,4.0
363,"""Great place to start with, learn and move on!""",I have been working at Microsoft full-time for more than 3 years,"Easier hiring process, opportunity to learn advanced technologies, not much pressure",Unclear reward and promotion system (every thing depends on the manager's view) which paves the road for too much politics! Not excellent culture. Top heavy! Your title determines how much you are heard and included.,5.0,2.0,5.0,5.0,4.0
364,"""Mostly a good deal overall""",I have been working at Microsoft full-time for more than a year,"Great work life balance, friendly people, safe work environment, great open source opportunities, modern tech stack &amp; tools if you find the right teams","Bureaucracy, bad/untrained middle managers, low career development, not open minded to more modern definitions of engineering",5.0,3.0,4.0,4.0,4.0
365,"""Great""",I worked at Microsoft full-time,It looks great on your resume,Expectation to work long hours,,,,,
366,"""Good benefts""",I have been working at Microsoft full-time for more than 5 years,"excellent benefits, good work life balance.","If you are part of the retail organization, you are definitely looked at different than corporate Microsoft. Your chances of being promoted out of the retail organization into corporate are less than an external being brought in - horrible.",5.0,4.0,3.0,4.0,4.0
367,"""xx""",I have been working at Microsoft full-time,Empower everyone in the planet to achieve more,would be great if they speed up the interview process,3.0,4.0,3.0,3.0,4.0
368,"""Great Place to work""",I have been working at Microsoft full-time for more than 3 years,"Culture, Environment, Co-workers, Projects and Pay",Mistakes are not suffered lightly.,4.0,4.0,5.0,5.0,4.0
369,"""New graduate review on MSSE""",I have been working at Microsoft full-time,"- club benefit 
- great salary 
- havent work for long",not at this moment that I could think of any cons,,,,,
370,"""Great company but career advancement can be difficult""",I worked at Microsoft full-time for more than 3 years,"Benefits, plenty of talented coworkers, a company strives to make a difference in the world.",The glass ceiling is hard to break when trying to go from retail to corp.,5.0,5.0,3.0,5.0,5.0
371,"""Great place to work""",I have been working at Microsoft full-time for more than 3 years,"Great benefits, great people, fun technology","really big organization, difficult to network",5.0,3.0,1.0,3.0,3.0
372,"""Great company to work for""",I have been working at Microsoft full-time for more than 5 years,Experienced people you can work with,Slow pace in recent years.,4.0,4.0,5.0,3.0,5.0
373,"""Great company to work for""",I have been working at Microsoft full-time for more than 10 years,Employee friendly; Focus on execution; Well oiled machine.,"Tendency to jump on the latest bandwagon - product, culture, management mantra",5.0,5.0,4.0,4.0,4.0
374,"""Tough to not be at Seattle""",I have been working at Microsoft full-time for more than 8 years,Great work life balance. Great benefits,Seattle is where the decisions are made. Not good if you are not there,5.0,4.0,4.0,4.0,4.0
375,"""Great place to work""",I have been working at Microsoft full-time for more than 5 years,"benefits, work life balance, career options","work pressure, management decision making",,,,,
376,"""Great company""",I worked at Microsoft full-time for more than 5 years,"Dynamic, open environment - freedom to define how you want to meet your objectives. Very smart people.","This is a big company now, lots of bureaucratic paper-pushing. Everyone seems to have a better idea for the same problem.",4.0,4.0,4.0,4.0,3.0
377,"""Proud to Work for Microsoft, Not Sure I Will Survive Long""",I have been working at Microsoft full-time for less than a year,"* Pay
* Benfits
* Smart people
* Brand name
* Increasingly accepting of work-from-home","* Developers have to RE-INTERVIEW (same process as external candidate, whiteboard problems and all) to move to a different team within the company.
* Performance evaluation is a ""What have you done for me today?"" exercise that gets tiring to go through.
* Re-orgs. Teams always getting spliced, moved, merged, axed. Constant fear of losing job or landing in undesirable role.",3.0,2.0,5.0,5.0,2.0
378,"""Great company""",I have been working at Microsoft full-time for more than 10 years,"Good benefits, good culture, good products, customers love it",Too much pressure and low work life balance.,2.0,5.0,2.0,4.0,5.0
379,"""Great company""",I have been working at Microsoft full-time for more than 10 years,"Good benefits, good culture, good products, customers love it",Too much pressure and low work life balance.,2.0,5.0,2.0,4.0,5.0
380,"""Great place to work""",I worked at Microsoft full-time,- Wonderful culture of intellectual curiosity and mission-orientation coupled with results-orientation.  So you feel great about changing the world for the better through empowering people with technology.,- Lots of decision are made in the corporate center but interesting role can be had in the field by forming great relationships in region and at HQ.,4.0,5.0,5.0,5.0,5.0
381,"""Great company to work for.""",I have been working at Microsoft full-time for more than 8 years,"Satya Nadella has changed the course of the company and the energy is awesome
Great benefits
Stocks on the rise","Legacy processes still being revamped
Extremely fast paced environment",5.0,5.0,5.0,5.0,5.0
382,"""Great company direction... Don't like the archaic bits""",I have been working at Microsoft full-time for more than a year,Welcoming and mature culture is pretty genuine and non-pretentious. Xbox is great and laid back. Very flexible and supportive culture. Pays well. Cool tech. Moving in a fantastic direction under Satya Nadella leadership.,Old. Old people. Old infrastructure/tech. Annoying software and Office sucks. Slow to change and not diverse enough.,5.0,5.0,4.0,4.0,5.0
383,"""Excited to work at MSFT""",I have been working at Microsoft full-time for more than 10 years,New opportunities and cutting-edge technologies,It is difficult to have a work and life balance!,3.0,4.0,4.0,5.0,4.0
384,"""Great Place to be in Tech/ Business Applications""",I have been working at Microsoft full-time for more than a year,"-MSFT is doing a phenomenal job under Satya's guidance to reinvent go- to -market strategy and approach
-Developing business Applications on Azure and a common data model is a really big deal. This provides increased insights to customers while reducing IT complexity/ spider web integrations of applications
-Pay and Benefits are top notch 
-Investment in both large and midsize markets (Chicago, Detroit, Cleveland) allows support and local engagement with key customers
-MTC (Training Center) model is great for local customer engagement and training","-Typical ""Large Corporate"" environment is not for everyone
-Some cumbersome systems/ processes
-Long Onboarding/ learning process",5.0,5.0,5.0,5.0,5.0
385,"""Developer Senior""",I have been working at Microsoft full-time for more than 5 years,"good windows systems,no virus, excellent cafeteria better than google","Applied for ASP.NET senior developer position,  but they interviewed completely on JAVASCRIPT.",1.0,1.0,5.0,5.0,1.0
386,"""Great Company""",I worked at Microsoft full-time for more than 3 years,Was a great company to work for and had awesome and experienced peers.,I think it really depends what team you're on.,3.0,4.0,5.0,5.0,4.0
387,"""Great company, great culture""",I have been working at Microsoft full-time,"Work life balance, leadership development, company culture",The ease of moving internally,,,,,
388,"""Ask to speak with your reporting manager before accepting an offer.""",I worked at Microsoft full-time,"Great prestige
High reward
Opportunity for growth","Prepare to deal with a lot of microaggressions
Build your tribe fasts!  Network well before you get there otherwise prepare to be left behind.
A cult mentality - either you blend in or you are spit out - at least move out of services (SI) as soon as you can.",3.0,4.0,4.0,5.0,3.0
389,"""Good company that I have worked for""",I worked at Microsoft full-time for more than a year,"very good managements and leaders, giving more time to thinkGood company that I have worked for","not good for new grads, so don't applyGood company that I have worked for",2.0,3.0,2.0,2.0,2.0
390,"""It's Microsoft... What you wuld expect""",I have been working at Microsoft full-time for more than a year,"Fast-Paced
Very Autonomous
Great Benefits and Perks","Sometimes cutthroat
Dog eat dog
A lot of travel- for some may be a pro",3.0,4.0,3.0,5.0,3.0
391,"""Software Engineer""",I have been working at Microsoft full-time,I of the leading tech companies to work with,Since dealing with serious clients the pace of work and innovation can be slow,,,,,
392,"""Good place to work""",I have been working at Microsoft full-time for more than 5 years,"- good team work environment
- good benefits",No Cons to comment working here,5.0,5.0,5.0,5.0,5.0
393,"""A good place to work""",I have been working at Microsoft full-time for more than 8 years,"Work life balance can be flexible
Great benefits
Opportunity for impact","Bureaucracy 
Loudest voice often wins",5.0,4.0,4.0,4.0,4.0
394,"""Many Opportunities- If you choose to take them.""",I have been working at Microsoft part-time for more than a year,"Great Benefits, Many opportunities for growth,  free certifications,  tuition reimbursement etc",Very hard to move from a retail to corporate position.,2.0,5.0,4.0,5.0,4.0
395,"""Still a good company""",I have been working at Microsoft full-time for more than 8 years,"In general, work lift balance is good. Microsoft hiring bar is still high, so you have chances to work with a lot of smart people.","Politics, might not be able to move career fast.",4.0,4.0,3.0,4.0,4.0
396,"""Friendly Work Environment/Easy Job""",I have been working at Microsoft part-time,Friendly work environment. Fair pay. Great work/life balance.,Working in the mall as a retail associate can get tiresome.,,,,,
397,"""Good""",I worked at Microsoft full-time for more than 5 years,Culture and pay are great.,Has a long way to grow as a retail organization,3.0,4.0,3.0,4.0,2.0
398,"""Great Company with Great Opportunities""",I have been working at Microsoft full-time,"The Finance Rotation Program is amazing. Opportunities to work all around the world in different offices. Accelerated career growth. Placement into Finance, Product Management, or Corp dev roles. Extremely competitive salary and the best benefits. Frequent interaction with the CFO.",no cons at all that I can think of.,5.0,5.0,5.0,5.0,5.0
399,"""n/a""",I have been working at Microsoft full-time,it was a great experience,there were no cons about this job.,,,,,
400,"""Great company!""",I have been working at Microsoft full-time for more than 10 years,Work Life Balance top priority,No vision in the CSS organisation,5.0,5.0,5.0,5.0,5.0
401,"""Great place to work""",I worked at Microsoft full-time for less than a year,Work with talented people at a great company,Complicated system to navigate for new hires,4.0,5.0,5.0,5.0,4.0
402,"""Fun place to work with good life balance!""",I have been working at Microsoft full-time,Work with talented people at a great company,Complicated system to navigate for new hires,,,,,
403,"""Great place to learn""",I worked at Microsoft full-time for more than 5 years,Great benefits! Lots of resources to support you in your role.,Performance model can cause some interesting behaviors,3.0,4.0,2.0,3.0,3.0
404,"""Microsoft review""",I have been working at Microsoft full-time,Good work-life balance compared with other tech company.,Less competitive pay compared with other tech company.,5.0,5.0,5.0,5.0,5.0
405,"""Great Experience""",I worked at Microsoft full-time,"Great culture under Satya, lots of people were very chill",Lower starting package for new grads in comparison to other companies,,,,,
406,"""Overall a good company""",I have been working at Microsoft full-time,"* Good work life balance.
* A big tech company - a lot of opportunities.","* Too many reorgs. 
* The number of stock levels is two high so it is hard to move up fast.",,,,,
407,"""Good""",I worked at Microsoft full-time for more than 10 years,"Microsoft is great.  I left to learn more from another company, but huge scale, hard problems to solve, pretty good autonomy, relatively few barriers to success.  Would work there again.","Charter conflicts still happen, some processes are burdensome, review process is a little cumbersome and at times feels a little artificial, but generally you can ""do the right thing"".",4.0,4.0,4.0,4.0,4.0
408,"""Great Culture and Vision""",I have been working at Microsoft full-time for more than 3 years,"Inclusive and diversity culture
Supportive management",work environment can become too competitive sometimes,5.0,5.0,5.0,3.0,5.0
409,"""Overall a good company""",I have been working at Microsoft full-time,"* Good work life balance.
* A big tech company - a lot of opportunities.","* Too many reorgs. 
* The number of stock levels is two high so it is hard to move up fast.",,,,,
410,"""Good""",I worked at Microsoft full-time for more than 10 years,"Microsoft is great.  I left to learn more from another company, but huge scale, hard problems to solve, pretty good autonomy, relatively few barriers to success.  Would work there again.","Charter conflicts still happen, some processes are burdensome, review process is a little cumbersome and at times feels a little artificial, but generally you can ""do the right thing"".",4.0,4.0,4.0,4.0,4.0
411,"""Great Culture and Vision""",I have been working at Microsoft full-time for more than 3 years,"Inclusive and diversity culture
Supportive management",work environment can become too competitive sometimes,5.0,5.0,5.0,3.0,5.0
412,"""Great company to work for""",I have been working at Microsoft full-time for more than 3 years,great work life balance and culture,Hard to stand out in a big company,5.0,5.0,5.0,5.0,5.0
413,"""Great environment""",I have been working at Microsoft full-time for more than 3 years,"Great colleagues, environment that encourages active thinking",A little bit too corporate,2.0,4.0,4.0,4.0,4.0
414,"""Great benefits""",I worked at Microsoft full-time for more than 5 years,"Cutting edge technology, great benefits, satisfying work","Age biased, political, dead-end department",4.0,4.0,4.0,5.0,4.0
415,"""Great company - stable but no growth""",I have been working at Microsoft full-time for more than 10 years,"Flexibility, stability, good wage, work life balance is good","Managers aren't good but improving, growth has slown down",5.0,5.0,4.0,3.0,3.0
416,"""Good company, but not perfect""",I have been working at Microsoft full-time for more than 10 years,"Good benefits, lots of opportunity, good top level management and current direction.",Still too much politics. Really tough to survive once you're at a high level in the company.,3.0,4.0,4.0,4.0,4.0
417,"""Depends on the team""",I have been working at Microsoft full-time for more than 3 years,If you work on a good team with good management then you probably love your job,There are not many good teams and good managers that can overlook the poor engineering practices,,,,,
418,"""Good for some""",I worked at Microsoft full-time for more than a year,"Good pay, cutting edge technology, face paced",Easy to get caught up in corporate bean counting.  Unexpected layoffs and uninformed management make an unstable place to work.,2.0,3.0,3.0,5.0,2.0
419,"""Great culture and interesting work""",I have been working at Microsoft full-time for less than a year,"- management is supportive 
- lots of opportunity to groew",- company values can sometimes feel cheesey/ insencere,5.0,4.0,5.0,5.0,4.0
420,"""Microsoft values inclusion but not when your an Executive Assistant""",I have been working at Microsoft full-time for more than 8 years,We do not have a career path that aligns to the work we do or our contribution to a executive or team,We do not receive stock and average raise is 50 cents to a dollar an hour each year,4.0,3.0,1.0,1.0,3.0
421,"""Good place to work if you are flexible with your work/life balance""",I have been working at Microsoft full-time for more than 10 years,"* Big campus/East side
* Decent leadership team
* Lots of different opportunities within the company","* Takes a long time for poor performing leaders to move on
* Purely top-down",,,,,
422,"""Great work-life balance""",I have been working at Microsoft full-time for more than 3 years,work-life balance benefits team culture  location,retail hours holidays consumers metrics driven micro manage,5.0,5.0,5.0,4.0,3.0
423,"""Wonderful place to mature as an engineer""",I have been working at Microsoft full-time for more than 3 years,"Smart as razor people, boundless resources and avenues for growth","Teams becoming more feudal, business is becoming more unpredictable",4.0,4.0,5.0,4.0,5.0
424,"""bring your whole self""",I have been working at Microsoft full-time for more than 8 years,"You are totally empowered, varies by group","Groupism, still some folks in management who are in old culture",5.0,5.0,5.0,5.0,3.0
425,"""Developers""",I have been working at Microsoft full-time for more than 8 years,"Developers heaven to work and stay, you have nice environment and food",lack of freedom to decide which project,4.0,5.0,4.0,4.0,4.0
426,"""Great company""",I have been working at Microsoft full-time,"Great Team
Work life balance",Figuring out the next step for employees that want to go corporate,5.0,5.0,4.0,4.0,5.0
427,"""Great company""",I worked at Microsoft full-time for more than 3 years,Good culture and benefits.,sometime you may felt disorganized and chaotic.,4.0,5.0,5.0,5.0,5.0
428,"""A great place to start your career!""",I have been working at Microsoft full-time for more than a year,"Great work/life balance, excellent benefits, amazing pay for area","Ungodly amount of favoritism, SJW culture, Bad management, Moving forward is difficult",5.0,2.0,2.0,5.0,3.0
429,"""awesome""",I worked at Microsoft full-time,cool place i loved it,food can be very expensive,,,,,
430,"""Excellent CEO, culture can change....""",I have been working at Microsoft full-time for more than a year,"Excellent CEO, potential for career exploration, cutting edge technology!","Very large and matrixed organization. 
Culture re-alignment not spreading across the organization.
Difficult to switch roles. 
Work life balance can be a struggle.",3.0,4.0,4.0,4.0,3.0
431,"""Great Place to Work""",I have been working at Microsoft full-time for more than 10 years,"Salary is the bast!!
Free cofee at the office everyday!!","Work time is all the time
people yell at me sometimes",5.0,5.0,5.0,5.0,5.0
432,"""sde""",I have been working at Microsoft full-time for more than 8 years,good work life balance. benefit is good,a lot of office policy. promotion is not based on your contribution,,,,,
433,"""Excellent environment""",I have been working at Microsoft full-time,"Good pay, great benefits, awesome people and an streamlined onboarding process",It has been positive so far,5.0,5.0,5.0,5.0,5.0
434,"""Lots of politics""",I have been working at Microsoft full-time for more than 3 years,Monday-Friday work week. Paid holidays and vacation,Pay raises are minimum and opportunity for growth takes wayyy longer than it should. You might be stuck at a station or position for 2 years. You will always be short staffed,4.0,2.0,2.0,4.0,2.0
435,"""Good starting point""",I have been working at Microsoft full-time,Good early in career for learning,Can shoot themselves int he foot sometimes,,,,,
436,"""new grad reviews""",I have been working at Microsoft full-time for less than a year,"Friendly team and environment, great health care, 401k, and work life balance",No free food. Low refresh bonus,5.0,5.0,5.0,5.0,5.0
437,"""Great place to work""",I have been working at Microsoft full-time for more than 10 years,"Good culture and work life balance, smart team mates who are invested in making you successful, strong leadership","Compensation is not top notch, career growth is what you would expect from a mature company",5.0,5.0,3.0,3.0,5.0
438,"""its good""",I have been working at Microsoft full-time for less than a year,great culture good people nice,"bad weather, too many people,",,,,,
439,"""Good Company with good pay""",I have been working at Microsoft full-time for less than a year,"great hours, nice and friendly work environment - the new microsoft is pretty supportive","no free food, pay is lower than other tech companies",5.0,4.0,5.0,4.0,4.0
440,"""the company itself moves too slow""",I have been working at Microsoft full-time,"lots of projects available, and offices around the work",the planning stage is too long,,,,,
441,"""Great DS team, org wide difficulties""",I have been working at Microsoft full-time for more than 3 years,Work on a great data science team,The larger team does not have a good understanding of data science.  Can be hard to work with,,,,,
442,"""Customer Success Focused""",I have been working at Microsoft full-time,"Heavy customer success focus
Doing right by customer
Empathy
Learning culture","Too many processes
Too much of a matrix-ed organization
Not many accountable for success
Legacy leadership holdovers with bad habits",3.0,5.0,4.0,3.0,4.0
443,"""Microsoft review""",I have been working at Microsoft full-time for more than 5 years,Great work life balance and available options to move within teams,Salary and  ownership are not upto mark,5.0,5.0,5.0,3.0,3.0
444,"""nice""",I have been working at Microsoft part-time for more than a year,"good staff, good people, smart people","no cons, everything is so great there",3.0,3.0,3.0,3.0,3.0
445,"""No Career Growth""",I have been working at Microsoft full-time for more than 5 years,Technology leader in the right space,"No Career Growth, Frequent Reorgs",1.0,1.0,1.0,3.0,1.0
446,"""Good company to build a career with""",I have been working at Microsoft full-time for more than 3 years,Strong growth potential with fun with environment,Travel can be heavy at times,3.0,5.0,4.0,3.0,4.0
447,"""Microsoft Retail is not Microsoft""",I worked at Microsoft full-time for more than 5 years,"- Free Health Insurance
-  Potential for rewarding and impactful events
- Volunteer hours paid to organizations","- Large Workload
- Retail Schedule
- Unattainable Goals
- Senior Leadership
- Work Life Balance almost non-existent",1.0,4.0,1.0,3.0,1.0
448,"""Great Company""",I have been working at Microsoft full-time for more than 3 years,"Benefits, Networking, Opportunities for growth","easy to get lost in the folds, work/life can be difficult depending on the role",3.0,5.0,5.0,5.0,4.0
449,"""A great place to work""",I worked at Microsoft full-time for more than 10 years,"Diverse culture, smart people,",Can be difficult to locate and/or move groups,4.0,5.0,5.0,4.0,4.0
450,"""Good wlb""",I have been working at Microsoft full-time for more than 5 years,"Good wlb, a lot of space to move",Hard to go to the next level.,4.0,3.0,2.0,4.0,3.0
451,"""Great company""",I have been working at Microsoft full-time for more than 3 years,A lot of teams so you can easily move inside the company if you are unhappy.,Sometimes it can be slow to move things around.,3.0,3.0,5.0,3.0,3.0
452,"""Great company to work for""",I worked at Microsoft full-time,Lots of divisions - from games to enterprise software,Big company with some bureaucracy to navigate,4.0,4.0,5.0,5.0,4.0
453,"""Microsoft is a technology leader""",I have been working at Microsoft full-time for more than 10 years,Microsoft is definitely one of the best companies to work for. The best thing about Microsoft is that you get to work on almost anything that are cutting edge in the tech industry.,At times you might feel that Microsoft is a bit laid back in some areas and you would feel that you needed more momentum to get going.,5.0,5.0,5.0,3.0,5.0
454,"""One of the best companies I've been to""",I have been working at Microsoft part-time,"High pay, friendly coworkers, and easy networking",Can't think of any cons,,,,,
455,"""Fun environment""",I have been working at Microsoft part-time,"Benefits, fun people to work with, good pay",It’s hard to move up,,,,,
456,"""Changing culture is awesome, still room for growth""",I worked at Microsoft full-time for more than 3 years,I love what Satya has done since he joined - it immediately became a much better place to work.,Still some bumps in the road in terms of HR policies and practices. Sometimes it appears they're more interested in covering their butt than doing the right thing.,,,,,
457,"""Fun job, but very underpaid""",I have been working at Microsoft full-time,"cool perks
lots of resources
nice coworkers","corporate politics
take advantage of contractors",2.0,4.0,2.0,2.0,2.0
458,"""brilliant people, good pay, excellent benefits.  Political... watch your back""",I worked at Microsoft full-time for more than 10 years,"Pay, Benefits, Employee Development, Commute Options, Facilities","Highly political, Frequent layoffs",3.0,3.0,3.0,5.0,3.0
459,"""Fun job, but very underpaid""",I have been working at Microsoft full-time,"cool perks
lots of resources
nice coworkers","corporate politics
take advantage of contractors",2.0,4.0,2.0,2.0,2.0
460,"""brilliant people, good pay, excellent benefits.  Political... watch your back""",I worked at Microsoft full-time for more than 10 years,"Pay, Benefits, Employee Development, Commute Options, Facilities","Highly political, Frequent layoffs",3.0,3.0,3.0,5.0,3.0
461,"""Potential to be great.""",I worked at Microsoft full-time for more than 10 years,Innovation-focused.  Great leadership at the top.   Plays the long-game.,Management bureaucracy - especially at the mid / upper bounds.   Lack of cohesion inside the company across groups.  More focused on positioning internally vs. rallying externally.,4.0,3.0,5.0,4.0,4.0
462,"""Great work life balance, high bureaucracy""",I worked at Microsoft full-time for more than 3 years,"I enjoyed the incredibly smart people, Grand scope of impact, and the ability to negotiate your own pace at work","The bureaucracy is very alive and kicking. Personal politics do unfortunately take center stage and it's very much an old boys club, with certain individuals justifying their dominance purely based on tenure.",5.0,3.0,3.0,4.0,2.0
463,"""Great company, friendly people, teamwork""",I have been working at Microsoft full-time for more than 10 years,"I work in the field, which is great, and work from home a lot. Intelligent people, helpful people, mentoring, work/life balance, overall compensation",Perceived as not innovative. Number two for cloud.,5.0,5.0,5.0,5.0,5.0
464,"""Fantastic Company""",I have been working at Microsoft full-time for more than 3 years,"Easily the best place I have worked. Microsoft is leading the way with innovation in today's world and they're doing it with a focus on diversity, inclusivity, and accessibility.",There are no cons in my opinion,5.0,5.0,5.0,5.0,5.0
465,"""Great place to work""",I have been working at Microsoft full-time,"great work life balance, amazing benefits","less wage compared to other tech, though made up by much more awesome work life balance.",,,,,
466,"""Engineer""",I worked at Microsoft full-time for more than a year,Good benifit for various terms,"Thus is too free for staffs, no pressure at all",4.0,4.0,4.0,5.0,3.0
467,"""Great company""",I worked at Microsoft full-time for more than 10 years,Good benefits and good salary,Promotion opportunities highly depends on the team,4.0,3.0,4.0,4.0,3.0
468,"""Illegal Abuse""",I worked at Microsoft part-time for more than a year,"Fun work, fun team, lots of team building exercises, good motivation","Long, long hours. I was a part timer working 40+ hours a week, so overtime was awesome, but between that and school, it added up. I ended up in hospital and was fired, so I asked for preferential rehiring and HR informed me I had ""never been fired"". When I talked to a co-worker (a fellow Product Advisor) about it she forwarded the email she was sent, that DETAILED MY TIME IN HOSPITAL as the reason for my FIRING, sent from my BOSS. I quit after three months back because the work environment from then on was markedly hostile, as my managers viewed my unfiring as retaliation for them firing me.",1.0,5.0,4.0,5.0,2.0
469,"""Amazing benefits, amazing people, amazing tech""",I have been working at Microsoft full-time for more than 3 years,"Work/life balance
Benefits and pay
Amazing people to work with everyday
Empower the planet
Great culture",Nothing comes to mind but the standard big corporation cons,5.0,5.0,5.0,5.0,5.0
470,"""Great experience""",I worked at Microsoft full-time for more than 3 years,Great people in every org and just so much opportunity to work on anything that excites you.,Team politics and sometimes bad managers.,5.0,3.0,5.0,4.0,3.0
471,"""Steep Learning Curve, Unlimited Potential""",I have been working at Microsoft full-time for more than 5 years,"As one of the largest companies in the world, Microsoft can afford to compensate well and has no issue providing the resources needed for success. The company culture is healthy being lead by an executive team that has values beyond revenue. Growth potential is only limited by personal ambition and ability.",Understanding the social politics and bureaucracy of such a large company with long established leaders can be difficult.  Introverted or quiet people may find it difficult to find the right human resources and succeed without the right manager. Sometimes reorganizations are executed without a clear message or purpose.,3.0,3.0,5.0,5.0,4.0
472,"""interview and hiring process""",I have been working at Microsoft full-time for less than a year,"complete professional, timely, best interview process ever i had","some situations, it goes couple more extra rounds before they offer. But this is very minor",5.0,5.0,5.0,5.0,5.0
473,"""Great place to work if work is the only thing you have in your life""",I worked at Microsoft full-time for more than 10 years,"Opportunity to learn and grow
Work with smart people
Benefits are great
Great place to learn about latest technology","Demanding schedule. 
Due to highly competitive nature there is a lack of collaboration
High expectations without a concrete goal - often times, managements expects you to work hard, make impact etc, without any clear goal or objective. 
Not the best place for women for a long term career.  Microsoft in general is trying hard to improve its image about gender bias, however, in technical role, with close to 90% male employees it is not a good environment for women to stay long term.  

For short term this is a great place to learn and having experience in Microsoft goes a long way in your resume. I would recommend Microsoft as a place to start your career, then, have a exit strategy before you burn out. 
The culture and work schedule / demand will take up most if not all of your time. This is a highly competitive place and demands all your attention and energy, which in turn can cause lot of stress.  As long as you can work hard to get the great review, this will be a good place for you.  You should plan to leave as soon as you realize that you are not able to keep up with the demand.",2.0,4.0,3.0,5.0,2.0
474,"""Great place for starting career""",I worked at Microsoft full-time for more than 3 years,Smart colleagues and celebrate success. Process immigration much quicker than other regular companies,Internal competition and longer development cycles,,,,,
475,"""Great company to work for""",I have been working at Microsoft full-time for more than 10 years,"Integrity, Giving, Talented people, Good team work",Don't like the way how MSFT leveling/calibrating employees,4.0,5.0,5.0,4.0,4.0
476,"""Glorified Call Center with No Room For Growth""",I worked at Microsoft part-time for less than a year,Free Orca Card for public transportation,"Sterile work environment, pointless team meetings, inefficient",,,,,
477,"""User Experience Design at Microsoft""",I worked at Microsoft full-time for more than 5 years,Many great designers to collaborate with,Design iterations take much to long.  Great UI/UX designs are limited by archaic backend capabilities so excellent customer experience is sacrificed.,4.0,4.0,2.0,3.0,2.0
478,"""Microsoft""",I have been working at Microsoft full-time for more than a year,Microsoft has good values and i believe every group holds their own culture..,"Admin culture doesn't align with the culture Microsoft preaches. Admins are treated as less than, are low level making it very difficult to advance into higher roles.  There are no repercussions for managers harrassing their employees, or directly discriminating against them.  HR dismissed my claims when the evidence was clear and in writing. The reporting structure for admins to report to other admins also creates massive issues with career advancement.",2.0,1.0,2.0,4.0,1.0
479,"""Microsoft""",I have been working at Microsoft full-time for more than a year,Microsoft has good values and i believe every group holds their own culture..,"Admin culture doesn't align with the culture Microsoft preaches. Admins are treated as less than, are low level making it very difficult to advance into higher roles.  There are no repercussions for managers harrassing their employees, or directly discriminating against them.  HR dismissed my claims when the evidence was clear and in writing. The reporting structure for admins to report to other admins also creates massive issues with career advancement.",2.0,1.0,2.0,4.0,1.0
480,"""Dynamic High-Energy Environment with Growth Mind-set""",I worked at Microsoft full-time for more than 10 years,"Excellent benefits, subsidized health club membership or dollar allowance for home health equipment, healthcare, subsidized adoption fees, and many more.  Wonderful high energy company of type A and triple A personalities.",As a large organization it can feel that HR is running the organization based on data vs. actual people - but that is the exception not the norm.,3.0,4.0,3.0,4.0,4.0
481,"""great- but you are just a number and a ton of politics""",I have been working at Microsoft full-time for more than 8 years,"when you have a great leader things are great- bad leader things are bad. Satya is amazing and doing great things- however, more with less is the new moto, and be clear, you are JUST a number. good benefits (not as good as before) great smart people to work with.","long hours, letting people go and piling the work on you. Untrained managers that say inappropriate things- HR looks the other way. Takes too much time to investigate. not all people make good managers",2.0,2.0,4.0,3.0,2.0
482,"""Best place ever""",I worked at Microsoft full-time for more than 3 years,Overall the best place to work,You work a lot of hours,,,,,
