,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
166,"""A company that's truly reinventing itself""",I have been working at HP Inc. full-time for more than 8 years,"Amazing and tangibly positive culture! Also: talented, smart, helpful colleagues; great products and company strategy; commitment to making a sustainable impact",Tendency to focus on what's urgent vs. what's important--everything is someone's top priority.,4.0,5.0,4.0,4.0,5.0
167,"""Excellent culture, innovation, and challenges to keep you growing.""",I have been working at HP Inc. full-time for more than 3 years,"Working at HP is my best career experience to date. Coworkers are stellar to collaborate with, all the way through management. Managers provide guidance during challenges while keeping open to your feedback or input, and acknowledge your work.  Very collaborative. Proud of the technology, diversity, and sustainability consciousness of HP as well. Great community volunteer opportunities throughout the year. Winning culture! The tech and mindset of the people here is outstanding, and have much to contribute to society. Very honored to be part of this innovative company that has much to offer to people, inside and out. I highly recommend HP.",Only con was how long it took me to find and get into HP!,5.0,5.0,5.0,5.0,5.0
168,"""I may have found my forever company""",I have been working at HP Inc. full-time for more than 3 years,"Really cool products. 
Great career opportunities because of its size and commitment to developing employees.
Smart executives.
Flexibility.
We have values that mean something in our day-to-day work.",Competency is rewarded with more work. :),3.0,5.0,5.0,4.0,5.0
169,"""I've found my forever home at HP""",I have been working at HP Inc. full-time,"World-class peers and managers, inspiring work, a leadership team that regularly interfaces across the company, options for remote work, lateral and horizontal growth opportunities, unbeatable company culture, and an amazing mission to make technology that makes life better for everyone, everywhere.",Work-life balance is tough to maintain with the workload. HP champions this balance but has high expectations for output from each and every employee. Be prepared to put in lots of hours.,3.0,5.0,5.0,4.0,5.0
170,"""Full speed ahead""",I have been working at HP Inc. full-time for more than 10 years,"People, community, networks, job opportunities, growth mindset","Complexity, processes, tools, lack of alignment, not nimble, lack of empowerment to change beyond local area",4.0,5.0,5.0,2.0,3.0
171,"""Commitment to Employees is high.   The HP Way is alive.""",I have been working at HP Inc. full-time for more than 3 years,"Strong work/life balance. Positive,  upbeat, friendly environment.   Co is big on employee engagement and recognition.",Mostly West Coast locations - having more east coast presence could be beneficial.,5.0,5.0,5.0,4.0,5.0
172,"""HP Inc is a company that TRULY cares about its employees""",I have been working at HP Inc. full-time for more than 10 years,"I've worked here for almost 20 years and wouldn't work anywhere else!  HP Inc is a GREAT company filled with smart, ambitious employees who work hard to do the right thing everyday.  This company truly cares about its employees; new programs are introduced every year, to improve the employees' experience and sense of value.","We receive a LOT of applications so it can ""feel"" hard to get selected for an interview or job; if you're TRULY interested in working for HP Inc, then keep at it, keep applying, keep networking - it WILL happen!",4.0,5.0,5.0,5.0,5.0
173,"""Good people""",I have been working at HP Inc. full-time for more than 10 years,"Flexible schedule, good people in immediate work group.","Shrinking US presence, no growth opportunities",5.0,5.0,1.0,3.0,2.0
174,"""Strong culture, incredible people, and tremendous growth opportunities""",I have been working at HP Inc. full-time for more than 10 years,"Our culture evokes a sense of community and belonging in a fun, supportive, and connected environment. You can get involved in a variety of activities outside your core role and build your network beyond the people you work with on a regular basis. The work is challenging and meaningful.  You are encouraged to think creatively and to be innovative--ask questions, challenge the status quo, take some risks, and explore the possibilities. Career and personal growth is available through formal and informal development programs, coaching and mentoring, on-the-job learning, and stretch assignments.  I enjoy partnering with people around the world. Leadership is inspired at every level. I've been here more than 10  years, and I've never been more proud of who we are as a company. I can't imagine working anywhere else.","Depending on your role, there can be a high volume of work so you must be able to think of work and life in an integrated way.",4.0,5.0,5.0,5.0,5.0
175,"""HPI - A great career choice""",I have been working at HP Inc. full-time for more than 10 years,"* Opportunities for advancement
* Opportunities to expand current job role and responsibilities
* Management team that is responsive and proactive to employees
* Co-workers are supportive",* the 50+ hour work week,3.0,5.0,5.0,5.0,5.0
176,"""Still thriving after 80 years""",I have been working at HP Inc. full-time for more than 10 years,"Open Door policy
Flexible working hours
Good vibe",None to call out at this point in time.,5.0,5.0,4.0,3.0,5.0
177,"""Good &amp; Bad- Culture is changing in 2019""",I have been working at HP Inc. full-time for more than 5 years,"HP Inc has a history of being a great place to work. They pay well, they offer a competitive commission structure, good benefits and typically good management who care about their employees. I enjoy the job although it is extremely challenging. Diversity is a perk.","Commission structure and reporting are muddy (very unclear). They can take back commission paychecks at any time, for any reason and it's hard to prove they are wrong. Upper management seems to be extremely stern and only care about numbers and bottom line. They are still laying off employees with work force reductions for no rhyme or reason other than getting rid of management other upper management does not like on a personal level. I am always afraid I will lose my job. This is not a company to work for long-term as most of the 25-30+ year employees are laid off at the drop of the hat for being too expensive in favor of hiring on low-cost college grad's.",4.0,2.0,3.0,4.0,2.0
178,"""Good""",I worked at HP Inc. full-time for less than a year,Great managers great culture good,"Sinking ship, moving employees elsewhere",5.0,5.0,5.0,5.0,5.0
179,"""Feels good to work inside such a great culture!""",I have been working at HP Inc. full-time for more than 10 years,"Everyone is encouraged to take risks and make mistakes. As long as you are growing and learning, it is all positive. This environment makes me want to be my best, most honest self and trust my instincts.","It is a big company, so you can feel small, but that is a perception. There are many tools, processes and people to help you find your path.",5.0,5.0,4.0,4.0,5.0
180,"""Working for HP""",I have been working at HP Inc. full-time for more than 10 years,The employee collaboration is great!  HP is open to people sharing ideas.    Managers are very supportive of employees who want to grow their career.  The people are just the best.   HP is supportive of work life balance and I have found that management is flexible with employees to help provide this environment.,New site location is a bit far but with the growth in Houston this location will likely be idea for most as this city continues to grow.  Easy access to the airport a plus,5.0,5.0,4.0,4.0,5.0
181,"""Not what it used to be""",I have been working at HP Inc. full-time for more than 10 years,"Smart coworkers, potential growth opportunities for some business units",Culture has changed from innovation driven to stock price driven.  Upper management making decisions based on short-term gains,4.0,1.0,1.0,5.0,1.0
182,"""Great Organization""",I have been working at HP Inc. full-time for more than a year,"Growth mindset driven,  great environment, plenty of room for professional development, great work life/balance.","Like many organizations, there will be reviews of the structure of the organization; however they do provide advance notification if there are headcount reductions needed.",5.0,5.0,5.0,5.0,5.0
183,"""Never been bored in 30 years""",I have been working at HP Inc. full-time for more than 10 years,"Flexible work environment, open door policy to speak up, diversity and inclusion to bring authentic self to work and contribute ideas, always opportunities to 'say yes to the stretch' continuing to learn and grow, increasing skills and knowledge, company matching of charitable contributions up to $2,500, volunteer 4 hours per month paid time off, so many pros ... the list goes on and on!","Truly, can't think of many cons ...",5.0,5.0,5.0,5.0,5.0
184,"""Great Culture""",I have been working at HP Inc. full-time for more than 8 years,Great people to work with.,Lack of work life balance,3.0,5.0,3.0,4.0,3.0
185,"""Used to be great, still good.""",I have been working at HP Inc. full-time for more than 10 years,"Work-life balance, flexible work arrangements.","Increasing work-load, ever decreasing benefits",5.0,4.0,3.0,2.0,3.0
186,"""The best company to work for""",I have been working at HP Inc. full-time for more than 5 years,"Growth opportunity, company involvement, recognition, engagement","compensation, constraints, supply chain, order management",5.0,5.0,5.0,4.0,5.0
187,"""Good environment""",I have been working at HP Inc. full-time for more than 5 years,"Big company present all over the globe, doing great job on new printing technologies","People tend to be confortable at their roles and positions, sometimes staying several years doing the same job, which reduces the possibility of recycling, and for others to grow. These people tend to not look for new challenges, which also impacts the growth of organization.",5.0,4.0,4.0,4.0,3.0
188,"""I like my job""",I have been working at HP Inc. full-time for more than 5 years,"High-level of  integrity
Good working environment
Supportive Management
Growth encouraged","Late night/Early morning conference calls
Lots of work",3.0,5.0,4.0,4.0,4.0
189,"""Long Decline""",I worked at HP Inc. full-time for more than 5 years,Flexible hours; average tech salary; benefits,"During my tenure at HP Inc.'s Vancouver office, I witnessed increasingly poor quality of employees and behavior that ended up making this the worst workplace I have been a part of. Although tolerable at first, it seemed like a variety of antisocial behaviors and ongoing harassment were commonplace and becoming worse to the point where I developed serious concerns with the ethics of the company. Based on my experiences towards the end I can't recommend anyone work for this company or support HP Inc. in any way, especially if you are differently-abled. I would not feel at all safe allowing my child to be an intern at the site I worked at and it scares me that people as young as high school age were being exposed to this environment. 

The workplace itself could be described as dingy, crowded, and cluttered which did nothing to help the generally poor environment. HP seems to have fully bought into the idea of a temporary workforce and what seemed like constant restructuring and employment thrash made this a particularly soulless place to be. The best, most talented, and generally nicest people tended to do their time and leave, to be replaced with ever-poorer quality people in a depressing race to the bottom.",4.0,1.0,2.0,3.0,2.0
190,"""Current Iteration of HP (not HPE) has a great ethic and culture""",I have been working at HP Inc. full-time for more than 10 years,"First, it's nice to be in a leading company in an interesting industry that is culturally relevant.  Culture is very supportive and cognizant of inclusion and recognition.  They also treat you like an adult, and as long as you get your work done nobody is really clock-watching and you have flexibility to manage personal needs with business ones.  I'm an old timer, going back to the Compaq days, and the current work environment is the best I have experienced in my 20+ years with the company.","No macro level cons, but as I am sure it is with any company, an individual job or role can have drawbacks: Some require extensive travel, since we are an international company some require calls at very odd hours, emergencies regarding product quality or supply issues can break out which can translate to very intense periods of long days until the situation is resolved.  I'm sure there are some turd managers here and there, but from what I have seen they are not tolerated very long and get sorted out. But there are no overall ""Company Cons"" that come to mind (and keep in mind, I am an old Coot and usually pretty cynical, so for me to be this positive says something!).",5.0,5.0,4.0,4.0,5.0
191,"""Excellent for working moms - True work life balance!""",I have been working at HP Inc. full-time for more than 5 years,"Employees are offered flexibility by being able to work from home some days which is ideal for parents. I have yet to encounter any micromanagement from my direct manager or leadership team. Management is always enforcing growth mindset by helping employees flourish their talents and abilities, which serves not only the employee but the company.","While the new campus is beautiful and the open concept design facilities collaboration, its location requires a long and costly daily commute for those who do not live in the Woodlands/Spring/Klein area.",5.0,5.0,5.0,5.0,5.0
192,"""Fanstastic place to work and develop a long term career""",I have been working at HP Inc. full-time for more than 10 years,"If you're self motivated, competitive and take initiative - this is the place for you. Your position could allow you the opportunity to work on WW team.  Promote from within company. Open door policy.","Workforce reduction to US employees reduced from 1 month per year of service payout to 1 day per year of service payout. US employees not protected by labor laws / labor unions as employees are in all other locations outside US, where their payout is extremely more substantial.",5.0,5.0,5.0,5.0,5.0
193,"""The best company fit for me!""",I have been working at HP Inc. full-time for less than a year,"Great company with strong diversity and inclusion culture.  The embracing of the growth mindset as the company culture encourages everyone to continue developing.  Strong culture of recognition.  While work is demanding and schedules are tough, the opportunity for flexibility makes it very easy to manage.",The interview process took a long time.  At times the amount of resources are overwhelming and not streamlined.,5.0,5.0,5.0,4.0,5.0
194,"""Renewed spirit for Spring, TX employees""",I have been working at HP Inc. full-time for more than 8 years,"The Company is on solid footing, continues to innovate and has a greater focus on employee satisfaction as of late.  Changes such as new Spring, TX campus, career development discussions, addressing those with bad attitudes towards others have all have improved the day-to-day vibe","Although collaborative, it's also a competitive environment so don't expect to move up the ladder quickly.",4.0,5.0,4.0,4.0,5.0
195,"""The HP Way""",I have been working at HP Inc. full-time for more than 3 years,HP has a very diverse and inclusive culture.  It is great to work for such a wide known brand such as HP.  There is room to grow in your career.  There is a lot of opportunity to make money as a sales rep as well if you perform well.  The people who work at HP are supportive of each other and it is truly a team environment.  The work life balance is fantastic as well.  The company cares about their employees overall wellbeing.,If you are not willing to move then your career options are limited.  Every company has its challenges and HP has its own with their internal tools and processes.,5.0,5.0,4.0,3.0,4.0
196,"""Looking for a place to grow and be challenged...join HP Inc""",I have been working at HP Inc. full-time for more than 10 years,"In my 20 years at HP, I have been able to learn and work in almost all aspects of Human Resources. My managers have given me the opportunity to take on stretch assignments and provide me with mentors to help coach as I grow in my roles. The variety of work in partnering with internal and customer facing teams has been my favorite part of working at HP...well along with my great co-workers.",I don't feel there are any cons.,5.0,5.0,5.0,4.0,5.0
197,"""Great people and great products""",I have been working at HP Inc. full-time for more than 3 years,"401k matching, good healthcare, flexible working schedule (depending on manager), open environment,",Some people have been around for a long time and seem to game the system.,4.0,5.0,4.0,5.0,5.0
198,"""Engaging work on cutting edge design""",I have been working at HP Inc. full-time for less than a year,"Great work-life balance, interesting problems, cross-discipline teams, and competitive salary",Some communication difficulties arise over email communication with employees outside the US; can be hard to drive process improvements as cost is always major driver,5.0,5.0,4.0,5.0,4.0
199,"""Good place to work with good people. Could be great with some changes...""",I have been working at HP Inc. full-time for more than a year,"Balance work/life.
Low pressure.
Understanding management that is proactive about recognition.
Flexibility.","Lack of vacation days.
Lack of proper training budget.
Takes time to make changes or affect change.
Pay is not as competitive compared to other top tech companies.
Lack of employee benefits and discounts.",5.0,5.0,3.0,2.0,4.0
200,"""Bring your authentic self to work each DAY!""",I have been working at HP Inc. full-time for more than 8 years,"HP is an incredible company to work for, they are inclusive, innovative, exciting, and so much more.  They offer plenty of room for advancement, you can be yourself whatever that may be and feel comfortable.  They live by a true open door policy and really value their employees and empower them.",Like with any large corporation there are always hiccups when it comes to transitions.,5.0,5.0,5.0,4.0,4.0
201,"""It's not just work it's life and life is good.""",I have been working at HP Inc. full-time for more than 8 years,"HP invests heavily in it's employees at every level.   The opportunity for growth isn't just available it's encouraged.  The sky is the limit regarding the ability to advance in your career... additionally, HP is just about everywhere in the world so you have options there as well.    Lastly, HP doesn't do anything that doesn't substantially contribute to community and global society either with it's products or with it's honest approach to business. I couldn't ask for a better place to live out my career","Because this company is so large it takes a bit more to steer the ship in a different direction, not a bad thing in my mind, but some would view it as a slower pace of engagement overall.",5.0,5.0,5.0,4.0,5.0
202,"""Absolutely Love Working @ HP!""",I have been working at HP Inc. full-time for more than 5 years,Really great &amp; smart people. Fantastic work life balance. Love the work I do &amp; plenty of opportunity for growth!,"It can be hard to navigate such a big company, easy to get lost in the shuffle it you aren't proactive about networking and doing work that stands out.",5.0,5.0,5.0,5.0,5.0
203,"""Not a bad place to get started""",I have been working at HP Inc. full-time for more than a year,"Relaxed atmosphere with good work-life balance
Relaxed work from home culture generally
People are very  smart and friendly","Not much room for fast growth and career advancement (including pay raises)
Big company so things can move really slowly
Lots of ppt slides and aligning before anything gets done
Many people work remotely so not really a site culture",5.0,5.0,2.0,3.0,4.0
204,"""Excellent company""",I have been working at HP Inc. full-time for more than 3 years,"Congenial and knowledgeable and smart colleagues, good research resources (library access, compute, software access, etc.)",Sometime can be difficult to coordinate and work with folks in global offices due to time difference (minor issue),5.0,5.0,4.0,4.0,4.0
205,"""Solid company with good balance""",I have been working at HP Inc. full-time for more than 8 years,"Interesting work, a good salary, and solid work life balance.    Most people are decent and care more about their impact on customers, employees, environment, etc, versus just the bottom line.   

Global business opportunities, with opportunity to work with diverse colleagues.  Generally stable, good opportunity if you want 10+ year career.    Great for learning - If you are solid, you can move into new domains, functions, and geos","Market is challenging - we have ha a good run for 3 years though.  Lots of frustrating systems, slow pace of change.   
Mixed quality of peers (but much better than 3 years ago).    Many employees stuck in (or choose to stay in) their roles for eons.    Less employee mobility limits advancement opportunities",5.0,5.0,4.0,4.0,4.0
206,"""Engaging culture and clear strategy""",I have been working at HP Inc. full-time for more than 8 years,"The management team is communicating clearly and consistently about the company strategy. There has been a great focus on creating a new corporate culture, which show is not only lip service, but shows on how the business is run on the day-to-day basis. There is a lot of focus on creating a culture based on what is the right thing to do and what the company values are and have been for many years. The Executive Leadership team is committed to sustainability and diversity &amp;  inclusion and they have objectives that measure their progress on these issues, in addition to their business objectives. This is a really fun place to work and very different from what the company was before the split couple of years ago!","Despite strong focus on better tools and more nimble processes, there are still legacy systems and processes that can hamper progress. Hope the changes the company is making in this areas will help us to further accelerate the business.",4.0,5.0,5.0,4.0,4.0
207,"""Burocratic""",I worked at HP Inc. full-time for less than a year,"Pay is good, work-life balance is great","Slow career progression, very bureaucratic",5.0,3.0,2.0,3.0,2.0
208,"""When its good, its good.  When its bad, its bad.""",I have been working at HP Inc. full-time for more than 8 years,"A strong desire for fairness and encouraging teamwork.  Also, working around some very talented people encourages growth.    For newer employess, HP can be a great learning opportunity working alongside these veterans.  After about five years, it is usually time to move on to another company where you can have some assurance of more steady career paths.

Upper management strives to provide solid financial stability to the company.","Upper management treats the workforce as interchangeable cost units that can be moved from country to country.   This means that  you can be layed off (WFR) at a moments notice regardless of how talented or how much you contribute to the company.  The depersonalization is such that people are not really called people by management they are called TCOW's(total cost of workforce -- permanent)  and RCOW's (resource cost of workforce -- contractors).  When the word comes down from on high to cut your TCOWs you have to do so regardless of how good the people are that are working for you.  As  you read the reviews you will notice a very different set of reviews depending which country the review is from.

Management creates quite a bit of PR about how they value talent within HP, but the lack of training and/or apprenticeship opportunities to develop people into new or changing roles is almost non-existent.  It is pretty much limited to the occasional quarterly class on management processes or access to Linked-In learning.    There is tuition reimbursement but it takes a serious commitment to a program before you can use it.

It is clear that the stock holders greatly out-prioritize the work force.",3.0,1.0,1.0,4.0,1.0
209,"""great place to work, full of smart people dedicated to turning the company around""",I have been working at HP Inc. full-time for more than 10 years,"Great for families. Respect for people. Respect for gender equality. Full of intelligent people. Turnaround culture embraces and rewards initiative and desire for change, although change is very slow and hard to do in a large and highly matrixed organization.  I believe the company offers excellent products to customers and offers employees much opportunity to gain international experience and grow and develop broadly across a multitude of teams and internal businesses.","Highly matrixed and beaurocratic organization makes it difficult to get things done and leads to inefficiency. 

Too much focus on engineering-led innovation, and too little focus on innovation of go to market models.",5.0,5.0,5.0,5.0,5.0
210,"""Good and bad""",I have been working at HP Inc. full-time for more than a year,People are super nice at HP,Office politics in such an established company,,,,,
211,"""Great culture and positive atmosphere""",I have been working at HP Inc. full-time for more than a year,"Positive culture and employees treated well, solid benefits, flexible work schedule, work/life balance, company is progressive and follows work-life trends in tech industry","location, oil companies in the area pay higher for most positions but not worth it in my opinion for quality of life",5.0,5.0,4.0,4.0,5.0
212,"""Good Company""",I have been working at HP Inc. full-time for more than 5 years,"Good Benefits, Good Family. work life",Some cons are low pay and no bonus,4.0,4.0,4.0,5.0,4.0
213,"""HPInc.""",I have been working at HP Inc. full-time for more than 10 years,"great vision, and product and service...",Benefits could use an upgrade... work-life balance and teamwork are lacking.,2.0,4.0,4.0,3.0,2.0
214,"""Good people, morale, and pay but typical large company inefficiencies and low visibility""",I worked at HP Inc. full-time for less than a year,"Name brand, good morale, modern facility","Serious alienation of contractors
Low visibility and mobility opportunities",4.0,4.0,2.0,4.0,3.0
215,"""Just chugging along""",I have been working at HP Inc. full-time for more than 8 years,Decent benefits. Good vacation. Average 401k match but you have to employed on Dec 31st to get match for the year.,Below average pay and compensation. Management does not feel the need to pay at market levels. Work life balance sometimes but not always. Management shows get it done by hook or crook. Deadlines are more important than following the best practices.,3.0,3.0,2.0,2.0,2.0
216,"""Electrical Engineer""",I have been working at HP Inc. full-time for more than 5 years,Stable 9 to 5.,"No promotions or real raises.  Crazy Deadlines. Low salary, compared to other business. The company is not what it used to be.",1.0,2.0,1.0,1.0,1.0
217,"""Interesting place to work""",I worked at HP Inc. full-time for more than 5 years,"People were good, specially people who have been in HP for last 20 years. They are trained very well in HP way - are people centric, help develop people, and push to grow out of comfort zone. I stayed for over 5 years because i worked for awesome managers.","Newer execs are not very great.
Hardware is a low margin business which causes unnecessary cost pressure and programs are killed overnight.",4.0,5.0,4.0,2.0,1.0
218,"""HP not so great""",I worked at HP Inc. ,Great if just beginning career,Lumpy pay for account managers,,,,,
219,"""Ok""",I have been working at HP Inc. part-time for more than a year,it was an quick process to apply for,A good chuck of work,3.0,4.0,4.0,4.0,4.0
220,"""Lots of frills, no substance""",I have been working at HP Inc. full-time for more than 10 years,"Endless celebrations of achievements, culture, technologies, etc . Large company with many job opportunities","Celebrations don't put food on the table. Pay and Benefits are sub par. No real path to advancement, just horizontal movement that might help you advance after many years have passed.",3.0,1.0,4.0,1.0,2.0
221,"""Good company""",I have been working at HP Inc. full-time,To provide good environment for developer,It takes a long time to take a decision,5.0,4.0,3.0,3.0,3.0
222,"""Extensive resources for development.""",I have been working at HP Inc. full-time for more than a year,Flexible and adjustable work schedules.,Employee salary below local average for a technology company,4.0,4.0,4.0,3.0,3.0
223,"""Coffee""",I worked at HP Inc. full-time for more than a year,Good place to move up in the ranks,Sometimes the coffee was really bad,,,,,
224,"""Fun Place to be at""",I have been working at HP Inc. part-time,Great people and all good,"Long work hours, WLB based on the group",,,,,
225,"""Great company to work for!""",I worked at HP Inc. full-time for more than 10 years,"Good location, community involved, good benefits","Too many layoffs, lots of reorganization amongst groups",,,,,
226,"""Great place to start career""",I have been working at HP Inc. full-time,They are truly invested in their employees,Could do a better job of providing young people with networking opportunities,,,,,
227,"""Good company""",I worked at HP Inc. full-time for more than 5 years,Excellent benefits and health care,Too many meetings without results,3.0,3.0,3.0,3.0,3.0
228,"""Great Company""",I have been working at HP Inc. part-time for less than a year,Good company with a great culture,Better manage the intern program,5.0,5.0,1.0,5.0,3.0
229,"""Had a great experience with HPI""",I worked at HP Inc. full-time for more than 10 years,HP was a major employer for many years. I really enjoyed the traditional HP close nit environment and I absolutely loved how HP allowed me to have a work/life balance.  I had a great experience working for HP for 25+ years,"Years ago, in order to remain competitive, HP started to act like many similar tech companies.  That included changes in  benefits as well as profit sharing.  Eventually, just like many companies, HP  had many layoffs.  The many layoffs caused a lot of stress. Unfortunately, being just like other companies made it difficult for employees to set HP apart from other companies...and that can impact employee loyalty.",5.0,3.0,4.0,4.0,4.0
230,"""Headline News""",I have been working at HP Inc. full-time for more than 10 years,"Good work life balance, Good community, good co-workers, good vacation policy","VERY PC, slow to change, typical big employer,  white males have no chance to move up at this time as the minority status employees are being promoted to make up for past HP sins.",5.0,4.0,3.0,4.0,3.0
231,"""Environment""",I have been working at HP Inc. full-time for more than 10 years,Flexible work schedule to accommodate worming in a WW position.,Lack of work / life balance.,1.0,3.0,3.0,3.0,1.0
232,"""Do not Recommend""",I worked at HP Inc. ,"Global, well-known and respected company",Worked for a horrible manager with very high department turnover. Sr. Management tolerated situation and took no action to resolve.,,,,,
233,"""Great Culture""",I have been working at HP Inc. full-time for less than a year,Great people to work with,Expensive insurance plans and hard to use HSA,5.0,4.0,4.0,4.0,5.0
234,"""Old dinosaur looking to reinvent""",I worked at HP Inc. full-time for less than a year,"Great CEO, a very inspiring speaker, and a good top management team. I really enjoyed their vision and presentation skills. Competitive salary, good benefits. Free coffee machine.","Old garage office atmosphere.  Printer parts everywhere, old dirty carpets, layers of dust. Hardly any natural light. Work life balance is a joke, I was expected to be in my seat 8 hours a day, every day. Hiring process was a joke as well. They were hiring a number, not an individual. None of my references were called. I didn't meet a single team member nor my future manager during the interview. Highly hierarchical management structure. It'll take years to see the light. Workaholics would do well there. I met a few pearls of wisdom surrounded by dark waters of age and complexity. Clans of old timers make team work more difficult than it should be. Good ideas get buried within complexities of habitual tendencies. If you are looking for a healthy work-life balance within a high energy environment, look someplace else, or at least insist on meeting your team and seeing your future office during the interview.",1.0,2.0,1.0,4.0,4.0
235,"""HP has been a blessing to work for!""",I have been working at HP Inc. full-time for more than 5 years,"Flexibility, self managed schedule, fleet vehicle, excellent management and team cohesion, benefits","Low income ceiling, stagnant personal career growth model,  constantly shifting upper management, consistency in work overload.",5.0,5.0,2.0,5.0,4.0
236,"""salary""",I have been working at HP Inc. full-time for more than a year,good environment to work in,not too busy and no future,2.0,2.0,2.0,2.0,2.0
237,"""Diverse Workplace Good People""",I worked at HP Inc. full-time for more than 3 years,Worked with people from all over the world. Colleagues are competent and easy to get along with.,As a college grad hire I found the workplace  to be a bit older compared to other tech companies in the area.,3.0,4.0,4.0,4.0,4.0
238,"""Great Experience!""",I worked at HP Inc. full-time for less than a year,You get to work with a lot of smart people and cool equipment. I gained great experience through my internship and would have loved to stay.  From my experience they treat their employees really well... Besides what is in the cons.,"Not the best job stability, a lot of people were let go (mainly contractors but employees too) near the end of my internship. The company was having budget issues even with a blockbuster year for reasons above my pay grade.",5.0,4.0,4.0,5.0,2.0
239,"""Great company culture""",I have been working at HP Inc. full-time for more than a year,"Surrounded by smart, innovative, and creative people.",High pressure to meet deadlines,5.0,5.0,5.0,4.0,4.0
240,"""Good Benefits""",I have been working at HP Inc. full-time for more than a year,Money and benefits are great,"Work environment sucks.  they pretend to care, but are very cut throat and political.  To many bosses telling 1 person what to do.",2.0,2.0,2.0,4.0,1.0
241,"""Don’t get older - or be female""",I worked at HP Inc. full-time for more than 10 years,"Flexible hours, generous time off","Good ol’ Boy network, HR that works for upper management and not employees, under-staffing means you do 3-4 jobs for the price of 1",3.0,2.0,2.0,4.0,2.0
242,"""International responsibilites""",I worked at HP Inc. full-time for more than 10 years,It provides a multinational experience with diverse culture,It can be in constant organizational re-structure,3.0,4.0,4.0,5.0,3.0
243,"""The worst on-boarding experience!""",I have been working at HP Inc. full-time,"I like my job, my team, my manager .  Great company culture, totally committed to employees and being a good corporate citizen","I did not get a PC for 4 days!  I was working on my phone with my personal cell phone and email 
I did not get a desk for 3 weeks!
The new employee training (online) was not helpful 
No help or direction provided to set up direct deposit, benefits, payroll withholding and it is impossible to navigate the benefits sites to find on your own.",2.0,4.0,2.0,2.0,3.0
244,"""Just another big corporation""",I worked at HP Inc. full-time for more than 5 years,Big corporation with lots of resources.  Excellent co-workers.,"Very impersonal, you're just another number.  Really poor at giving pay increases.  I always had excellent reviews, and was the top field engineer in my division, but raises were 1% or less per year.  HP places stock performance above all.  Pays lip service to career advancement within the company.",4.0,3.0,1.0,4.0,3.0
245,"""lost some of its shine""",I have been working at HP Inc. full-time for more than 10 years,great people to work with,illogical upper management that doesnt make employees feel like liability rather than asset,5.0,2.0,3.0,2.0,1.0
246,"""Organisation gaining market share and growing..""",I have been working at HP Inc. full-time for more than a year,Sales culture and new models every quarter (like smartphones :-)),PC line of business is more models and same product hence market size not growing much.,4.0,2.0,2.0,4.0,1.0
247,"""AMS Channel Marketing Lead""",I have been working at HP Inc. full-time for more than 5 years,Great people to work with,Restructuring to reduce positions even when hitting targets.,5.0,5.0,5.0,5.0,5.0
248,"""Great company while you are needed. Outsourcing is a problem.""",I worked at HP Inc. full-time for more than 8 years,"Large, stable company with good benefits.
Volunteer programs / Classes / Employee events
Flexible work environments","HP has shown an increasing inclination towards outsourcing work to 3rd party houses or their China campus. Many jobs are being sent overseas while qualified Americans are being caught up in ""workforce reductions"".
There is no stability in HP. In the 10 years I was there I went through multiple restructures and mass layoffs. HP has a tendency to alternate between contracted labor and permanent employees with layoffs in between. 
If you are contract, be aware there is a forced 3 week unpaid shutdown during Christmas.
If you are perm, be aware that if you are caught up in one of HP's workforce reductions, there is a strict no-rehire policy. In my case, HP just purchased a new campus in Spring TX and was preparing to move to the new building. We were all assigned desks and I actually bought a house and moved my family closer to the new campus. Two weeks before the building move a large group of us were ""reduced"". We had all been given excellent reviews, the budget seemed fine, and the reason given was a need to ""refresh the talent pool"". We were given a severance package and 60 days (during a forced holiday shutdown) to find a job within the company.  Since most of us were unable to obtain new positions that quickly especially during a forced shutdown, we are no longer able to work at HP either as contractors or permanent employees with no timeline restrictions. Take caution if moving your family!",4.0,4.0,4.0,5.0,3.0
249,"""HP is a typical big company, with many illogical policies""",I worked at HP Inc. full-time for more than 3 years,"Paychecks are always on time.
Out of office/Vacations are explicit and supported by  the company process.
You can often find a good work/life balance by just doing your work.
People from other countries are great to work with (Brazil in particular).  Very competent and great people.","Some choices in technology make the company less secure.
Not everyone is aligned to make people's lives better.  Sometimes bad stuff rolls downhill, and if you're at the bottom of the hill ...",3.0,3.0,3.0,4.0,3.0
250,"""Great place to work""",I worked at HP Inc.  for more than a year,"Nice people, work was always changinf","Changes in leadership, no consistency",,,,,
251,"""No career development, no raises, no investing in R&D. The company is falling""",I have been working at HP Inc. full-time for more than 5 years,Nothing good at all at HP,"Printing and PCs are dead. The business is falling apart. Management only makes numbers look good using layoffs and cost reduction.
Deadlines are tight, scope is high and resources are low. There is no development at all. One has to wait over 15 years to get a promotion and salary raises are below 3% at best. 
A lot of experienced employee are complacent because they won’t get fired. They don’t add value to the teams and get away with doing the minimum. They know HP will pay everyone the same regardless of performance so why bother working hard? This leaves 1-2 people from the team doing most of the work until they burn and leave to go elsewhere",1.0,1.0,1.0,1.0,1.0
252,"""Too political not based on merit""",I have been working at HP Inc. full-time,Good benefits and work life balance,Everything is based on who you know and has no relevance to your job duties or performance,,,,,
