,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
127,"""I learned from the smartest people in the company.""",I worked at Samsung Electronics ,"Global company
Working on the latest tech
Meaningful work","Korean Culture
Office Poltics impacting big ideas",4.0,2.0,5.0,5.0,2.0
128,"""Good Experience""",I worked at Samsung Electronics full-time,The benefits are very strong.  The work was fun and rewarding.,There was a communication disconnect with senior level management.,,,,,
129,"""You can ge back what you've done""",I worked at Samsung Electronics full-time for more than 3 years,Resonable salary and welfare for employee which are scholarship for dependents and bonus salaries.,Working and Life balance is broken.,1.0,4.0,5.0,5.0,4.0
130,"""great workplace""",I worked at Samsung Electronics full-time,great work life balance and great people,not that i can think of,,,,,
131,"""User Experience Research Intern""",I have been working at Samsung Electronics full-time,Good experience at a corporate company.,"Extremely hierarchical structure, making it difficult to get things done.",,,,,
132,"""Job took my life and soul away demanding 80 hours a week""",I worked at Samsung Electronics ,"Compensation is good
Benefits  are food
Co workers support each other through the garbage they are put through from Korea (HQ)","Work life balance 
Lack of diversity
Inconsistent processes
Lack of Senior Leadership (VP and above) strategy and direction",,,,,
133,"""okay""",I worked at Samsung Electronics full-time for more than 3 years,Good but super hectic. many times weekends too.,no work life balance. everyone works like that so you are forced to,,,,,
134,"""I got M.S in commercial management and also ESL and worked more than 5 years on bussiness companies in Iran.""",I worked at Samsung Electronics ,To be one of this great Co and attamp toward its goals.,Try to solve all difficulties and problems,,,,,
135,"""bad management""",I have been working at Samsung Electronics full-time,food is good. All covered health plan.,"No equality. 
The management is bad.",4.0,3.0,4.0,4.0,1.0
136,"""Samsung Review""",I worked at Samsung Electronics full-time for more than 5 years,Well established global business practice,Harsh business rhythm and overtime work,3.0,5.0,3.0,4.0,5.0
137,"""Good benifit""",I have been working at Samsung Electronics full-time for more than 10 years,"Good benefit for employees (salary, medical benefit)",Used to work in Korean working culture,,,,,
138,"""Supercisor""",I have been working at Samsung Electronics full-time,Great Pay and benefits,Micromanage by Koreans. Koreans are hard to deal with. No work / home life balance. Very unorganized and unprofessional,1.0,1.0,1.0,4.0,1.0
139,"""Good""",I worked at Samsung Electronics full-time for more than a year,Excellent projects to work on.,Too many releases due to high market reach,3.0,3.0,4.0,5.0,3.0
140,"""It was pretty amazing to work for Samsung!""",I have been working at Samsung Electronics full-time,"Fun environment, great company you can be proud of, great leadership","Pay was average, Samsung has eliminated their retail roles.",5.0,5.0,1.0,3.0,5.0
141,"""Good Food, Good Gym""",I have been working at Samsung Electronics full-time for more than a year,Good benefits Good Food,Far away from HQ,3.0,3.0,3.0,4.0,3.0
142,"""Good""",I have been working at Samsung Electronics ,"Good atmosphere, high salaries, benefits","Korean culture, dependent on Headquarter in Korea",5.0,5.0,5.0,5.0,5.0
143,"""Senior Designer""",I worked at Samsung Electronics full-time for more than 3 years,"- Excellent selection of food at the cafeteria  - Indian, Japanese, Korean, Italian, American Grill
- Great healthcare benefits",- No stock options for US employees,2.0,3.0,2.0,3.0,2.0
144,"""Company""",I worked at Samsung Electronics part-time for less than a year,"The people are great, a lot of intelligent and hardworking individuals",The company was disorganized and getting anything approved even the smallest things would take weeks which would make deadlines so difficult.,3.0,3.0,3.0,3.0,3.0
145,"""Great company to work""",I have been working at Samsung Electronics full-time for more than 10 years,"Cutting edge technology 
Innovation 
Opportunities to grow","Mostly managed by HQ in Korea,  top down approach 
Many projects gets dropped, no long term vision",3.0,3.0,5.0,4.0,3.0
146,"""Slow""",I worked at Samsung Electronics full-time,"Perks, lots of smart youngsters, international environment","Long hours, you can'f affect the decision, strong hierarchy.",,,,,
147,"""Good place to work""",I have been working at Samsung Electronics ,+ work and life balance,- no clear project target,5.0,5.0,3.0,3.0,5.0
148,"""good company but no place for advancement""",I have been working at Samsung Electronics full-time for more than a year,benefit and good pay range,not good management and leadership,3.0,3.0,1.0,3.0,3.0
149,"""Samsung Experience Consultant""",I worked at Samsung Electronics part-time,Sales jobs not too much pressure.,Not much room for upward growth.,4.0,3.0,1.0,1.0,3.0
150,"""Fast paced work environment""",I have been working at Samsung Electronics full-time for more than 8 years,"1. Great pay
2. Great coworkers
3. Adaptive work environment",1. hard to get promoted,,,,,
151,"""Good experience but very strong culture""",I have been working at Samsung Electronics full-time for more than 5 years,"speed faced company, you see a lot of different project, you learn very fast","extremely hard to be promoted, very strong culture, poor life balance. You are asked to be always available and have last minute trips constantly",1.0,1.0,3.0,4.0,3.0
152,"""FSM""",I worked at Samsung Electronics full-time,"Team oriented, flexible schedule, great pay","Time consuming,  tedious work",5.0,5.0,5.0,5.0,5.0
153,"""In-store marketing assistant manager""",I worked at Samsung Electronics full-time for more than 3 years,"salary, bonuses, international company with professional staff","work-life balance, lots of deadlines, stressful workplace, poor training and hand over process, poor morale in management and staff level, racism",1.0,1.0,3.0,5.0,2.0
154,"""If you love changes, here is the place to be,""",I have been working at Samsung Electronics full-time,Changes. Constant changes. You need to grasp the opportunity in the midst of changes.,Changes. Nothing is stable.,,,,,
155,"""Good for new grads""",I worked at Samsung Electronics full-time,Experience for new grads and looks good on resume,Alot of work when you after 3 months,,,,,
156,"""Full time employee at Samsung""",I have been working at Samsung Electronics full-time for more than 10 years,"Great products, Innovation, Great benefits","Slow pay raise, some politics",4.0,3.0,4.0,4.0,3.0
157,"""Purchasing Specialist""",I worked at Samsung Electronics full-time for more than 3 years,"Opportunity for advancement, Knowledge Acquisition in end to end processes","Overtime, area of opportunity in work life balance.",4.0,5.0,5.0,5.0,5.0
158,"""Good place for experience""",I worked at Samsung Electronics full-time for less than a year,"The management will listen to concerns and try to help you figure out your own solution, encouraging thinking outside the box and taking the lead.",Retail work schedules are always a pain anywhere you go.,1.0,5.0,3.0,5.0,5.0
159,"""PLEASE address morale of the field team""",I have been working at Samsung Electronics ,Used to be a great job with a lot flexibility. Those days are toast.,"I don't know who is dictating the schedule of the field team, but it's gone from bad to worse. Used to be a Mon-Fri job. It was awesome. Now, who the eff knows. We get sent out a schedule a week before it starts for the month. Working company holidays, 8 DAYS IN A ROW over Thanksgiving...for no other reason than this greedy company trying to push a few more boxes. The team is miserable, doesn't have 2 days off in a row...I could go on. This has gone from a territory management role to a retail micromanaged position. Don't you dare have more than 3 pieces of swag on your table during table days, or try to spend time with your family on weekends. I'm sure after S10 launches, they will see a TON of turnover. All the good ones are leaving and upper management doesn't give a damn. Oh, and you will only be promoted if you came from the best buy side....a failing program.",2.0,1.0,1.0,5.0,1.0
160,"""Senior Software Engineer""",I have been working at Samsung Electronics full-time,"good salary
nice foods
anual profit share","strict for security
work and life balance is poor",3.0,3.0,3.0,4.0,3.0
161,"""Samsung""",I worked at Samsung Electronics ,"High salary, and nice people around","pressure, less work-life balance compared to other companies",,,,,
162,"""Hate""",I have been working at Samsung Electronics full-time for more than a year,Some people are friendly. No move up,Short breaks. Constant change. No pay increase. Can’t talk to anyone. Someone constant looking over your shoulder. Never any time for family.,1.0,1.0,1.0,1.0,1.0
163,"""Designer""",I worked at Samsung Electronics full-time,Good salary and good team,must of work are POCs,4.0,2.0,3.0,4.0,3.0
164,"""A bizzare and odd company to work for...""",I have been working at Samsung Electronics full-time,The gym is fantastic and they have great trainers. They also provide free lunch at the cafeteria and the food is not bad!,"All the strategic direction and decisions come from the Korean headquarters; and unless you are Korean, you are treated like a second-class citizen and your ideas and contributions are not be valued. There is very little transparency and sharing of information within the company. They have no idea how to “collaborate” or “innovate”. Majority of senior executives are from Korea and they are quite rude, disrespectful and raise their voices. HR is unable to shift the culture of the company so that a company that has offices and presence in the US adheres to US values and professionalism in the workplace. Women especially are treated badly as Koreans are quite chauvinistic and expect everyone to bow to them - literally. Despite its new building in San Jose, Samsung is a rotten company!",3.0,1.0,1.0,2.0,1.0
165,"""Generally good""",I worked at Samsung Electronics  for less than a year,Good insurance benefit and good environment.,Always busy. Be prepared to work hard,4.0,4.0,4.0,4.0,4.0
166,"""Intern""",I have been working at Samsung Electronics ,Great Benefits and Exciting Projects,Bad Housing options for interns.,4.0,5.0,5.0,5.0,4.0
167,"""Great Place to Work""",I have been working at Samsung Electronics  for less than a year,Good place to work for.,I cant think of any.,5.0,5.0,5.0,5.0,5.0
168,"""Great place to just settle in peacefully, but not so much to learn""",I worked at Samsung Electronics ,Very good compensation as well as housing benefits,Highly rigid structure and difficult to switch teams.,4.0,2.0,4.0,5.0,1.0
169,"""Nothing good in this company""",I have been working at Samsung Electronics full-time for more than 3 years,The benefit is above average in the Bay Area.,"The upper management team does not appreciate your hard work and the contribution you made. The weird Korean culture makes them think employees shall appreciate the opportunity they get from the company no matter what it is.  Individual contributors have to deal with politics a lot. The HR team is another chaos. They are not there to help employees solve problems but to make things more complicated and worse. Every one in the management team is busy with politics, nobody cares about the technology and business.",3.0,1.0,1.0,3.0,1.0
170,"""Manager""",I worked at Samsung Electronics full-time for more than a year,Good company. cool to work,Bad culture...not so much fun,5.0,5.0,5.0,5.0,5.0
171,"""Associate""",I worked at Samsung Electronics ,"- Great reputation, brand name &amp; exit options
- A fair amount of compensation
- Global exposure
- Work-life balance","- Hierarchical organizational structure
- Very slow decision making
- Unwillingness for risk-taking",3.0,3.0,4.0,4.0,2.0
172,"""intern""",I have been working at Samsung Electronics ,"It was a very good experience 
Learned a lot of things",Working over time about a few days a week,,,,,
173,"""Not a bad place to work""",I worked at Samsung Electronics full-time,"Good benefits
Nice office
Training- depending on your team","Lots of red tape
Capped opportunities for growth
Too many rotational employees who think they know best",3.0,3.0,2.0,3.0,2.0
174,"""Good company""",I worked at Samsung Electronics full-time,"Good benefits 
Free meals
Good profit sharing","Hard to find ""work and life balance""",2.0,4.0,5.0,4.0,4.0
175,"""Good place to work""",I have been working at Samsung Electronics full-time,PTO is relatively easy to get. If you stay on top of emails and communications it's a pretty easy job. You get out what you put in.,Anything can happen at any time and the expectations for delivery are pretty unforgiving.,4.0,5.0,5.0,4.0,4.0
176,"""Associtate""",I worked at Samsung Electronics ,"big company, good benefits, opportunities","hierarchy, frequent lay-off, lack of communication",4.0,4.0,4.0,4.0,4.0
177,"""Software Engineer""",I worked at Samsung Electronics full-time,Lots of perks and free food,Bad work culture and no idea management,,,,,
178,"""Product Manager""",I have been working at Samsung Electronics full-time,Benefit is good and work environment is good,Work balance is not that good,3.0,3.0,4.0,5.0,3.0
179,"""Good products, bad work/life balance""",I have been working at Samsung Electronics ,"Interesting products, great brand recognition",Work life balance doesn’t exist. The mantra is company first.,1.0,2.0,2.0,4.0,2.0
180,"""SCM""",I have been working at Samsung Electronics full-time,"Great  team, great support","Advancement opportunity, etc etc etc",,,,,
181,"""NEw Brokerage team""",I have been working at Samsung Electronics full-time for less than a year,You have a job and get paid twice a month,"You are micromanaged the entire time you are there.  The new Brokerage management is very over bearing and likes to do everything themselves, must have 100% control at all times.  There are no SOP's in place, just however they decide to do it and beat you over the head with it.  By this I mean extreme micromanaging to the point they count how many times you have to use the restroom.  Most extreme case of mistrust I have ever encountered in my career.  Asians need only apply this is truly all they want working for them.",1.0,4.0,2.0,3.0,2.0
182,"""Reviews""",I worked at Samsung Electronics full-time,Good pay structure and benifits,Takes control of everything and hard to implement an initiative,3.0,2.0,3.0,4.0,2.0
183,"""Good benefit!!""",I worked at Samsung Electronics full-time for more than 10 years,"good benefit ( health insurance, 401K match etc), PTO &amp; employee sales / promotion","No work life balance, Too much politics",3.0,3.0,4.0,5.0,3.0
184,"""Super""",I worked at Samsung Electronics full-time for more than 3 years,Super  company I am so proud,I am join the company,5.0,5.0,5.0,5.0,5.0
185,"""Best Place to work""",I worked at Samsung Electronics part-time for less than a year,"Best place,  Great people, Enthusiastic,  got a chance to enhance my skill set. Helpful Management. Great salary and benefits. Outdoor activities every month.",Sometimes it is very stressful place to work .,5.0,5.0,5.0,5.0,5.0
186,"""Glad for the experience but would have rather not had to go through all the BS on the way""",I worked at Samsung Electronics full-time for more than a year,"Benefits, 401k, some of the people you work with are good to hang out with after work","Politics are ridiculous, it's all about who you know not what or how well you perform, every group is structured different even though it's all the same company.",1.0,2.0,2.0,4.0,1.0
187,"""Great workplace""",I have been working at Samsung Electronics full-time for more than 3 years,Workload is balanced flexible hours,Some politics but its ok,,,,,
188,"""Working too hard""",I worked at Samsung Electronics full-time,Employee benefit was very good.,too much pressure to finish project.,,,,,
189,"""Run as far as you can from this place Micky Mouse mentality!!!""",I have been working at Samsung Electronics full-time for more than a year,"Some friendly coworkers, good health benefits","Verbal harassment on a daily basis in addition to RACIAL discrimination.  Vacation is great, but they don't allow you to take any days off and if you do they give you hell that it becomes a nightmare and that also includes sick days too.  You have to deal with lazy coworkers who don't even know how to do their job (Micky Mouse mentality) so others have to do the job for the lazy ones, in addition to have to deal with managers who don't know how to manage, but all they do is yell, shop for personal stuff online and trash other people during work hours.   AND when you are the one doing your job, you get yelled at, but the people who Micky Mouse all day and are lazy get praised.",1.0,1.0,1.0,3.0,1.0
190,"""Great experience""",I have been working at Samsung Electronics full-time for more than a year,"Goode Pay, great benefits. Opportunity to move up within the company, and awesome company culture.","The schedule would be my only con. Very hectic work schedule, and lots of blackout dates for PTO.",2.0,5.0,5.0,4.0,5.0
191,"""Crazy Situation in Newberry""",I have been working at Samsung Electronics full-time for more than a year,"Health insurance is good and cheap
Product discounts are nice (not great but nice)","Newberry is like little Korea.  Probably 100 Korean team members running around everywhere making important decisions based on each of their own measurements.
Drastic changes to process almost daily.  Most with little or no notice.
Work hours are as bad as I have ever seen. Expect at least 6 working days a week if not 7.  14 to 16 hour days on top of that.
American team not allowed to make any important calls.   Your role is only to take the blame.
Everyone there is looking to leave.  Honestly the worst environment I have ever been a part of.",1.0,1.0,2.0,3.0,1.0
192,"""Principle Engineer""",I worked at Samsung Electronics full-time,There are a lot of good benefit policy,Sometimes it's weird about decision making process,,,,,
193,"""Senior Associate""",I worked at Samsung Electronics ,"Benefit is great, location was good (now they moved to worse area)",Work culture is very much  like that of Japanese - long working hours,,,,,
194,"""Great place with awesome and talented people""",I worked at Samsung Electronics full-time for less than a year,"Open communication, freedom to share your own ideas, full of challenges and a lot of good stuff to learn.",Honestly there's nothing to complain about.,5.0,5.0,5.0,5.0,5.0
195,"""Benefit""",I have been working at Samsung Electronics full-time,Goood insurance. food and facity,nothing to share actually on this,5.0,5.0,5.0,5.0,5.0
196,"""No experience .""",I worked at Samsung Electronics full-time for more than 3 years,Other persons found jobs satisfied.,I don’t have any ideas.,,,,,
197,"""Hardware Engineer""",I worked at Samsung Electronics full-time for more than 3 years,Well recognized company. Opportunity to experience cutting edge technology.,Rough working hours depending on team,3.0,3.0,4.0,4.0,
198,"""R &amp; D""",I have been working at Samsung Electronics full-time,It is an international company works on my field of interest,"In this big companies, you should work hard and concentrate.",,,,,
199,"""excellent""",I have been working at Samsung Electronics full-time for more than a year,"friendly , good environment , excellent","nothing to say , no cons",5.0,5.0,5.0,5.0,5.0
200,"""Senior Engineer""",I have been working at Samsung Electronics full-time for more than a year,"Good place to learn and try new ideas, smart people",Data obfuscation (from the Korean home team),2.0,3.0,2.0,3.0,4.0
201,"""Good Company""",I have been working at Samsung Electronics full-time,"When you have any problem, there is always someone who can help you.",No too much development. You need to work in Korean time sometimes.,4.0,4.0,3.0,4.0,4.0
202,"""Field sales manager""",I have been working at Samsung Electronics full-time for more than 3 years,Awesome place to work and be part of a great company,No downsides here.  Love this job.,5.0,5.0,5.0,5.0,5.0
203,"""Csr""",I have been working at Samsung Electronics full-time for less than a year,Great hours great pay,Tricky work you have to be very focused,,,,,
204,"""Best place I've worked (Smart Machines group, specifically)""",I have been working at Samsung Electronics full-time,"Start-up environment, approachable management, good pay and not too many meetings.","Advantages listed in pros might not translate outside of Smart Machines, be mindful of that.",3.0,4.0,5.0,5.0,4.0
205,"""Assistant HR Manager""",I worked at Samsung Electronics full-time,Clear business objective and KPIs,Hierarchical management and lack of work life balance,1.0,1.0,2.0,2.0,1.0
206,"""good""",I have been working at Samsung Electronics ,"good, nice people, friendly atmosphere, dog friendly","unwelcoming, unclear about future, making people wait",,,,,
207,"""Principal""",I have been working at Samsung Electronics full-time for more than 8 years,growing importance in the market,it's a small company relatively.,4.0,4.0,4.0,4.0,4.0
208,"""Good Company to work with some issues""",I have been working at Samsung Electronics full-time for more than a year,"Great Pay, Nice Benefits, Decent Campus","Work Life Balance, Promotion can take 10 years, Bad City to live, Tremendous hobnobbing from HQ,",1.0,2.0,1.0,4.0,2.0
209,"""RFIC""",I have been working at Samsung Electronics ,Good environment nice person learn fancy stuff,too many on hand project,3.0,4.0,4.0,4.0,4.0
210,"""5 Years and Samsung Strong""",I have been working at Samsung Electronics full-time for more than 8 years,Great company. Amazing Culture. Love working at Samsung. You will too!,Internal promoting is rare.,5.0,4.0,3.0,4.0,4.0
211,"""Good work/life balance""",I worked at Samsung Electronics ,"- Nice working environment
- Good benefits
- Discount for lunch","- Diversity can be improved
- Remote meetings at evenings sometimes is painful",,,,,
212,"""Machine operator""",I worked at Samsung Electronics full-time,They have very good pay,There is a culture different,2.0,4.0,5.0,5.0,3.0
213,"""Unstable and Unpleasant""",I have been working at Samsung Electronics full-time for more than a year,Good pay and the chance to work on products that ship around the world,"A shocking amount of office gossip, politics and treachery.
Tons of box checking, even for a big corporation.
Cultural and practical gaps with leadership in Korea that is never, ever going to be resolved.
No culture of teamwork or mentorship. You're on your own, all the time. Good luck.
No clear vision or communication of expectations.
High turnover of good people due to all of the above.",2.0,1.0,1.0,4.0,2.0
214,"""Product Manager""",I worked at Samsung Electronics full-time,Great benefits and international experience,Management decision making is a black box,,,,,
215,"""Samsung HR""",I worked at Samsung Electronics full-time for more than 3 years,Great benefits and the day-to-day work is very challenging,Management is inconsistent and there's high rotation.,2.0,4.0,3.0,3.0,3.0
216,"""Exciting workplace bogged down by bureaucracy""",I worked at Samsung Electronics full-time for more than 5 years,"Great coworkers, fantastic benefits (excellent insurance, with most of the premiums covered by the company, 401K match, excellent employee purchase program). You work with some of the coolest products on the market, and work with some of the biggest technology partners and resellers in the US.","Too many proprietary systems and processes, I do not feel like my experience here helped contribute to my career prospects in more modern companies. You are constantly working within a Korean mindset, with ridiculous goals often established without any regard to actual market conditions, and can change at the drop of a hat when a new executive decides he wants to try something  different.",2.0,5.0,3.0,4.0,2.0
217,"""Sales experience""",I have been working at Samsung Electronics part-time for less than a year,great atmosphere.  Not much selling.,Not much room for advancement,5.0,5.0,2.0,3.0,4.0
218,"""Good place to work""",I have been working at Samsung Electronics  for more than a year,I like the cafe and my team members,Dont' like the management style,3.0,4.0,3.0,4.0,2.0
219,"""Great compensation package + benefits""",I worked at Samsung Electronics full-time for more than 5 years,Stability of working at a large conglomerate company with enormous scale,HQ is on the other side of the world and hard to bridge cultural gaps with upper management,3.0,3.0,3.0,5.0,3.0
220,"""hardware engineer""",I have been working at Samsung Electronics full-time for more than a year,"macro environment is wonderful, business strategy is visionary",mid-level management is just ok,4.0,4.0,3.0,3.0,2.0
221,"""Lead Software Engineer""",I worked at Samsung Electronics full-time,"Good benefit, medical,  pension matching (50%), learn a lot about software development.",deadline can be too tight. working overtime is expected sometimes.,3.0,4.0,4.0,5.0,3.0
222,"""Ok company with good compensation package""",I have been working at Samsung Electronics full-time,Can work as per your interest,"Not a great work culture
No diversity",3.0,2.0,3.0,4.0,3.0
223,"""Good Place to work at first""",I have been working at Samsung Electronics full-time,"Good Pay, Bonus,  Employee discount",You can be in the same position for years.  No growth.  You can put in a lot of time into your work and still feel like its not enough.  Work life balance is hard to come by.,2.0,3.0,3.0,4.0,3.0
224,"""Procurement Buyer""",I worked at Samsung Electronics full-time,"Great compensation, opportunities, and people!",Overtime work may be required.,,,,,
225,"""No Respect For Work Life Balance""",I worked at Samsung Electronics full-time for more than 3 years,There's a park nearby and if you are Korean it's catered to you,"Long hours, terrible process.  The HR here is really weak and allow terrible situations to occur. Theres a reason why there are so few people who work here past 4 years.",1.0,1.0,2.0,3.0,1.0
226,"""Sales""",I worked at Samsung Electronics full-time for more than 3 years,"good benefits and great products,",unorganized but they were still learning,,,,,
227,"""sales""",I worked at Samsung Electronics part-time,sales structure was very good,need new offices and chairs,3.0,3.0,3.0,3.0,3.0
228,"""It was a great learning experience""",I worked at Samsung Electronics full-time for more than 5 years,"The benefits package is excellent. 
Medical, dental, vision with employer paying about 85% of the premiums.
FSA & HSA options
401k match 
Company provided life insurance (additional can be purchased for at a nominal rate)
Healthy vacation and sick day allowance 
Generous paid holiday time off
Bereavement policy
Hour paid lunch","High stress environment 
Unrealistic expectations/deadlines
Workload tends to be unmanageable in a typical 9-5 work day 
Long hours are often required 
No work from home policy 
Work life balance is difficult to maintain",2.0,3.0,2.0,5.0,1.0
229,"""Sales assistant""",I worked at Samsung Electronics full-time for more than 3 years,"Work hours are flexible, you can learn about textile, systems like S-ERP, A2000. There is Picnics and Christmas party. Health insurance is good.","I worked in textile division as sales assistant. Poor management. They don’t know your work amount even if you drown for work they don’t care. Literally your job is not limited from ordering pizza for everyone to helping other division. Whenever i have a little bit
of time to breath they give me other people’s job so everyday was exhausted and burned out.",1.0,1.0,3.0,1.0,1.0
230,"""Budget Manager""",I have been working at Samsung Electronics full-time,Great benefits and work environment,Unrealistic Work life balance,1.0,2.0,2.0,4.0,3.0
231,"""Pretty good.""",I worked at Samsung Electronics part-time,It was pretty good overall.,Sometimes it was pretty bad.,4.0,4.0,4.0,4.0,4.0
232,"""Good place to work for""",I worked at Samsung Electronics full-time,Challenging work and free food. Trips to HQ.,Work duration and extra hours,3.0,3.0,4.0,4.0,4.0
233,"""BEST COMPANY""",I worked at Samsung Electronics full-time,Brand Name Value and great product company,no cons. no cons. no cons.,5.0,5.0,5.0,5.0,5.0
234,"""Job review""",I worked at Samsung Electronics full-time,"Easy to work, good work life balance","Not good quality work, gets boring",5.0,2.0,2.0,2.0,2.0
235,"""Samsung is not an opportunity""",I worked at Samsung Electronics full-time for more than 3 years,Bonus was met every year.,"No growth, no change, no positives, no leadership, no management support, no structure, no opportunities.",1.0,1.0,1.0,3.0,1.0
236,"""Demoralizing, hierarchical culture""",I have been working at Samsung Electronics full-time for less than a year,"If you find the right time, people are nice","Challenging to work with a subsidiary as you are constantly the subsidiary and not the decision maker. Most the employees come from similar backgrounds with limited diversity in thought and experience. Hard to find inspirational leaders or mentors, and the culture feels toxic.",4.0,1.0,1.0,3.0,1.0
237,"""Good Company""",I worked at Samsung Electronics full-time for more than 5 years,The Koreans are very welcoming of Americans.  The pay is above average also.,Upper level management is predominantly Korean.  So chances for advancement are limited at the higher levels for Americans.,4.0,5.0,3.0,5.0,4.0
238,"""Korean Culture""",I worked at Samsung Electronics full-time for more than 8 years,Great to learn new technologies,"No work life balance.
Koreans and Korea HQ dominate and they have final say in everything.",1.0,1.0,4.0,4.0,1.0
239,"""Good place to start and continue your career""",I worked at Samsung Electronics full-time for more than 3 years,"Good Salary
Important Projects
Very good Perks","Not a goodWork environment
Narrow Deadlines",3.0,4.0,4.0,4.0,3.0
240,"""Global Strategist""",I have been working at Samsung Electronics ,"Options to work on latest tech
Global reach
Good Pay","Very hierarchical
Global mobility form Korea isnt easy",,,,,
241,"""Software Engineer""",I worked at Samsung Electronics full-time,good experience and good culture,"project opportunity, fun project, future.",5.0,5.0,5.0,5.0,5.0
242,"""......""",I have been working at Samsung Electronics full-time,Good financial health good bonus good salary,overwork too much work overnight work,,,,,
243,"""Software Engineer""",I worked at Samsung Electronics full-time,Good working environment in there.,Low Salary compared to other similar companies in there.,,,,,
244,"""No Direction""",I worked at Samsung Electronics full-time for more than 3 years,Pay was good.  Benefits good.  Non Corporate (ie not from Headquarters) were excellent.,"No leadership, change direction often without communication.  Still run like a Korean Company and you need to be from Korea to make any movement in your career.",1.0,3.0,1.0,4.0,1.0
245,"""engineer""",I worked at Samsung Electronics  for less than a year,At the moment can't think of any,poor working condition almost everyday,,,,,
246,"""Samsung""",I have been working at Samsung Electronics full-time,Great and growing company. Good benefit. Samsung product discount.,No work/life balance. Always working under stress.,1.0,1.0,4.0,5.0,1.0
247,"""line Tech""",I have been working at Samsung Electronics full-time,im committed to insuring that im asset by doing my very best an making myself available to do other task,not having enough work to keep me busy.,5.0,3.0,4.0,5.0,2.0
248,"""Challenging yet great learning opportunity""",I worked at Samsung Electronics full-time,"* if join a right group, get to have hands-on development experience with innovating smart devices
* great working culture experience if plan to build a career in global companies outside of the US
* perks and health care are one of the best","* different working culture (could be perceived as too much top-down, politics management)
* fast moving company thus R&amp;D strategies rather change sometimes too soon, quick",3.0,4.0,4.0,5.0,4.0
249,"""senior engineer""",I have been working at Samsung Electronics full-time,Good experience for one or two years for a foreign engineer.,It is a Traditional Korea culture.,3.0,3.0,3.0,4.0,3.0
250,"""Senior Designer""",I worked at Samsung Electronics full-time,"good for developing global production competency, flexible working time, open chances developing multiple careers","communication barriers across teams and departments, manufacturing-oriented performance measures",3.0,4.0,3.0,5.0,2.0
251,"""Engineer""",I worked at Samsung Electronics ,Easy work and good team ethics. Pay is ok and traveling to other cities a lot. Bonus is a plus,Different culture. Work and life balance is not so great during peak seasons.  Management needs to be more accepting of others opinions.,3.0,3.0,4.0,4.0,2.0
252,"""Sales consultant""",I worked at Samsung Electronics part-time for more than a year,The pay was good for a part time sales job. Pretty laid back most of the time.,A lot of constant updates to study for,3.0,3.0,4.0,4.0,4.0
253,"""Marketing Manager""",I have been working at Samsung Electronics full-time,Great people and competitive pay,Poor work life balance and evaluation process.,3.0,3.0,4.0,4.0,3.0
254,"""If you want to succeed, suck up""",I worked at Samsung Electronics full-time,Somewhat flexible work environment,"- numbers, numbers, numbers shoved down your throat 24/7
- uneducated upper management",1.0,2.0,4.0,4.0,1.0
255,"""Review of company""",I worked at Samsung Electronics full-time for less than a year,"new technologies 
always change 
good for beginners","the technology stack 
corporation
management 
opportunities",3.0,4.0,4.0,4.0,3.0
256,"""Samsung Austin Semiconductors""",I have been working at Samsung Electronics full-time for more than a year,great place to work with competent hard working people and Austin is a nice location. Work hours are very reasonable for this industry.,"no real complaints.  For this industry, the work environment is pretty standard.",4.0,3.0,4.0,3.0,3.0
257,"""Marketing Manager""",I have been working at Samsung Electronics ,Very good work experience in marketing,Disorganization from upper management down,,,,,
258,"""Worst management in the History of VRF""",I worked at Samsung Electronics full-time,Absolutely none.   This is the truth.,Advise speaking to former employees before you have any consideration of applying to this company.,1.0,1.0,1.0,1.0,1.0
259,"""Area Sales Manager""",I have been working at Samsung Electronics full-time,"Great company as far as brand recognition,  innovation,  the current direction they are heading.  They have the best products in the market, and are continuing to produce high quality products.","Very few opportunities to move upward in the retail sales field.  The saying ""The winds of change are fast in Samsung"" is 100% accurate.  Directives are constantly changing, sometimes disconnect between  upper management and the field teams.   Korean company, so very heavily based on Work hard... Work harder culture.",2.0,4.0,2.0,2.0,3.0
260,"""Samsung Sales Rep""",I worked at Samsung Electronics full-time,Great pay but long hrs. Company loves positive personalities. You can work your way uo in the company fast.,Senior management only cared about sales.,3.0,3.0,3.0,4.0,2.0
261,"""Textiles assistant""",I worked at Samsung Electronics full-time,"Flexible hours, willing to work with a schedule",no room or signs of growth/opportunities,1.0,1.0,2.0,1.0,1.0
262,"""RECEPTIONIST""",I worked at Samsung Electronics part-time,"good pay and benefits, flexible hours","no EMR available, limited parking",5.0,5.0,5.0,5.0,4.0
263,"""Marketing""",I have been working at Samsung Electronics full-time for more than 5 years,I honestly can't think of any. Thank god the economy is good and you can go somewhere that treats employees better.,If morale is an indicator of a company I say go talk to the employees and see for yourself. There is no chance of getting ahead if you aren't from a certain country.,,,,,
